Provider ID,Hospital Name,City,State,County Name,Survey Response Rate Percent,Patient Survey Star Rating
70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,HARTFORD,CT,HARTFORD,28.0,4.0
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,BALDWIN,27.0,4.0
30087,SCOTTSDALE SHEA MEDICAL CENTER,SCOTTSDALE,AZ,MARICOPA,27.0,4.0
30114,ORO VALLEY HOSPITAL,ORO VALLEY,AZ,PIMA,27.0,4.0
40004,WASHINGTON REGIONAL MEDICAL CENTER,FAYETTEVILLE,AR,WASHINGTON,27.0,4.0
40152,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,FAYETTEVILLE,AR,WASHINGTON,27.0,4.0
50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,PANORAMA CITY,CA,LOS ANGELES,27.0,4.0
50168,ST JUDE MEDICAL CENTER,FULLERTON,CA,ORANGE,27.0,4.0
50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,WALNUT CREEK,CA,CONTRA COSTA,27.0,4.0
50254,MARSHALL MEDICAL CENTER,PLACERVILLE,CA,EL DORADO,27.0,4.0
50291,SUTTER SANTA ROSA REGIONAL HOSPITAL,SANTA ROSA,CA,SONOMA,27.0,4.0
50496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,CONCORD,CA,CONTRA COSTA,27.0,4.0
50567,MISSION HOSPITAL REGIONAL MED CENTER,MISSION VIEJO,CA,ORANGE,27.0,4.0
50723,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,BALDWIN PARK,CA,LOS ANGELES,27.0,4.0
60013,MERCY REGIONAL MEDICAL CENTER,DURANGO,CO,LA PLATA,27.0,4.0
60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,COLORADO SPRINGS,CO,EL PASO,27.0,4.0
60113,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,LITTLETON,CO,ARAPAHOE,27.0,4.0
